mirna,71f38728-5265-4317-a9da-95129726fe2b,74c57e6a-badb-4c90-817f-f265e9f0eae7,cba39ceb-4b7e-49cb-8b01-c44b7e70ad25,0b85120a-29ec-4948-9eb3-dbea5709cb31,2bff15a5-c2ca-4529-ba3a-3042c0de59f3,b789f2c1-a793-41c3-80b1-781e3fe6dbca,b2c1efd2-e611-4dc8-bde7-cb6c2286fdaf,e48a4127-695e-47d7-8949-db5e12abe3ff,b46f17b8-62c8-4882-9978-d9c4d1b02d3a,a1ed6dca-3f6a-4824-887b-70cadb2f720c,bc30ca6a-982b-4ba1-85a2-2e4adeba535a,eb05707c-be5a-4faf-ac42-7e5ca6af53e2,65126cbb-60a9-41d4-9fa5-6acd91bf53e1,c329df5e-f892-4e34-a575-947b80e0f6fa,ef99ae23-c33f-49f4-9757-7bb6d944b622,054d6883-9f0f-451e-a26d-cf0ff741afa4,4821e883-36ff-4203-ab40-e1343b3c7017,5a60bc87-bd7f-4e42-bdd5-cdb6af087758,1af6794a-2d3e-4a93-81e5-accc366c6922,191540a1-8853-4b2f-b7ff-2848bbee4c2b,5a41d026-6876-4db0-b8bf-a15fc771d1be,5c50f5de-8495-43d9-a6af-1a0cdec79f9e,99359a4e-5bd3-4a80-99a4-f00be159e0ea,1022aa8a-ff64-4756-b20f-43a12a53efc1,af68c263-395e-49d7-9595-024857785b06,e3476c1f-d114-40df-8968-a8f51a0b6484,ee84d78c-72dd-4b1d-ac4b-402c9b19d3c2,966f9637-a03c-41a8-9958-ea22ca86fed8,9e44b206-f1ff-4285-9dea-c848c7f47e9c,92c40bfa-1683-461e-bac4-6f573534d2e6,f16f009f-c863-43a8-94bf-f24ed4fde296,4328f48c-5c7d-4ec4-98fc-f4a28674c49f,d6c77415-a3c1-4627-a0ab-dacdac3db507,fa288f78-75ff-4f7a-aa86-3e99857e47e8,c5415243-f09a-4d9e-80d6-c1df7e6c9e3d,a5400877-bf80-4332-a111-8ef646135782,cd925bc2-7870-4fbd-829e-8797bd839539,98c6443e-64f7-438c-bbe1-bea65458e98b,31894502-e558-4758-9bf6-1181ccb38412,8b2999ed-78b2-4ced-adf4-b7ffbfee4b7f,41dbd6ab-871d-4ee4-be13-392b4995f6ce,937c07c2-b2a5-4b3f-a5e1-09edc7fa9bf5,2a3fd28d-255b-4079-8348-029bd0755803,3e0ad2f4-16c0-4c3f-a5c5-414e4f495b48,b7b6e492-59b0-45f5-aaff-051c2cab5ee8,3c41e7b2-52f5-4f92-9ab9-b92846e972ba,2e354ad2-e897-44e9-8c6f-341fc5d878ec,db7aa78b-4bb9-4d89-9219-bc93eaa277a2,3ef75f19-8b1a-4d77-a84a-f89e9869c0bb,94daa651-5d59-4a69-bfd0-b95e146cee04,2e1de344-442c-4c2b-929a-74021d92c95b,7e4b904e-cacd-4c36-a5ad-0923bec03578,428c71b7-7fa6-4b34-b85c-bc67329db834,7843d077-04e2-41d2-bd64-73edd83e9c1f,6f335026-6df0-43f8-8076-fb6534e4420f,fb898446-9ba2-47d5-b86f-41a424c6fc38,f9b88865-6e80-46ed-98aa-6d81ba5d4a02
hsa-mir-1273c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1273d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1273e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1273f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1273g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1273h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-mir-1275,0,2,0,0,0,0,1,0,2,8,0,1,0,1,2,0,1,0,0,0,0,1,2,0,0,1,0,1,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,7,4,0,0,0,3,0,0,0,0,0
hsa-mir-1276,1,0,1,0,0,0,7,0,0,0,1,2,0,0,1,1,5,0,0,0,1,2,0,0,2,0,3,0,0,0,1,0,0,2,0,0,1,0,2,1,0,0,0,1,0,1,0,0,2,1,1,0,0,1,0,1,0
hsa-mir-1277,7,3,0,2,4,8,3,1,1,0,7,3,7,2,1,2,7,11,11,4,0,4,3,6,6,0,5,4,8,6,0,5,8,3,3,2,5,8,4,6,0,2,1,3,0,5,4,0,3,2,1,4,0,2,1,5,2
hsa-mir-1278,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-128-1,187,152,111,103,140,322,1456,98,200,125,113,161,257,52,132,115,124,72,82,44,326,440,88,148,203,89,130,121,281,347,71,131,93,113,77,239,169,385,305,317,55,51,165,212,121,176,194,138,376,214,73,631,65,98,140,203,103
hsa-mir-128-2,137,101,74,54,129,206,1137,70,143,53,69,144,168,20,89,67,108,31,40,22,222,308,54,101,148,42,74,100,170,246,47,100,46,96,43,192,104,329,212,229,17,29,95,173,55,112,117,67,282,138,34,500,35,67,101,131,92
hsa-mir-1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1283-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1283-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-1284,1,0,1,0,0,1,0,1,1,2,2,1,2,1,0,5,0,2,2,2,1,0,0,0,1,2,0,1,1,2,0,1,0,1,1,3,1,0,1,0,0,1,0,1,0,1,3,1,3,2,1,4,1,1,2,1,1
hsa-mir-1285-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hsa-mir-1285-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1287,100,121,52,15,55,92,400,45,54,70,47,98,56,19,136,71,33,16,43,23,120,328,46,50,59,100,68,48,203,140,24,119,61,35,36,174,117,105,83,74,21,13,32,53,93,24,58,37,516,58,35,691,76,94,139,137,59
hsa-mir-1288,3,1,1,2,4,0,4,0,1,1,1,1,0,0,1,1,0,1,0,0,6,6,1,1,0,0,2,1,2,2,1,2,0,0,0,6,0,5,5,2,0,1,3,2,0,1,3,5,2,2,0,3,0,0,1,1,0
hsa-mir-1289-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-mir-1289-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-129-1,0,24,3,0,3,3,6,0,3,0,1,2,1,0,0,0,0,1,1,1,2,2,0,0,0,2,0,1,3,1,1,0,1,2,0,0,3,2,5,3,0,0,2,0,0,0,2,0,12,0,0,2,1,1,0,1,2
hsa-mir-129-2,0,25,0,2,1,3,3,0,3,0,1,0,0,0,0,2,0,1,3,0,6,9,1,0,2,3,1,0,0,1,0,0,2,2,1,1,3,3,7,12,1,0,1,0,1,1,3,0,7,1,0,2,0,0,1,3,0
hsa-mir-1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1291,0,4,2,1,2,3,1,0,4,3,6,1,4,1,3,1,4,1,1,0,19,0,1,3,0,1,1,2,3,0,0,3,0,1,2,1,3,3,3,5,0,7,1,0,2,4,0,9,2,1,1,0,0,0,1,3,0
hsa-mir-1292,0,0,2,1,5,1,3,0,1,0,4,2,2,0,0,2,4,3,1,1,0,1,0,1,2,1,1,2,0,2,0,0,0,1,2,3,0,1,1,4,0,1,0,0,1,2,0,1,1,0,2,2,0,0,1,1,1
hsa-mir-1293,0,0,0,1,4,0,29,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,2,2,2,0,1,0,0,0,0,0
hsa-mir-1294,1,0,1,2,1,2,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,1
hsa-mir-1295a,1,1,0,2,1,3,3,2,0,0,3,8,0,0,4,0,1,1,8,1,1,2,1,2,3,2,1,1,85,5,0,1,2,0,1,2,5,6,1,1,0,2,3,0,2,1,0,0,2,12,1,3,0,0,1,0,0
hsa-mir-1295b,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
hsa-mir-1296,8,19,1,2,7,23,15,12,4,9,2,14,9,2,2,8,16,10,6,0,13,16,5,34,12,6,26,13,4,21,7,9,8,7,8,17,20,18,49,69,5,5,9,3,9,14,27,11,13,5,15,20,4,7,37,10,2
hsa-mir-1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1298,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-mir-1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1301,58,41,30,15,102,51,78,24,62,45,36,99,57,10,37,23,39,35,17,12,74,107,66,64,32,39,146,25,38,55,19,50,27,41,15,21,111,102,69,60,3,43,20,35,51,33,53,26,78,97,20,164,4,31,105,63,38
hsa-mir-1302-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1302-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-mir-1304,0,1,0,1,0,1,8,0,0,0,0,0,6,0,11,0,0,2,0,0,0,3,0,0,1,0,2,3,0,0,0,2,1,1,2,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,1,1,0,1
hsa-mir-1305,0,0,0,0,0,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
hsa-mir-1306,27,23,8,14,42,52,72,16,22,15,18,31,19,4,15,12,19,11,39,7,114,42,13,60,38,8,64,25,41,42,3,35,30,17,10,32,36,32,27,25,6,6,8,17,31,9,23,11,53,45,9,82,10,20,121,46,18
hsa-mir-1307,3915,5308,2877,1036,6291,4364,17490,294,2746,2212,994,3160,3683,1255,2261,2062,2568,2079,793,456,2305,4635,1233,4711,4743,1018,2306,2326,5208,3976,459,2658,2068,4356,1588,7376,4663,4918,4495,4194,625,1377,722,3366,1228,1758,3029,2874,6140,1465,5190,9399,299,2369,4048,5899,1395
hsa-mir-130a,166,131,83,32,60,119,198,157,39,98,163,32,124,19,23,35,93,84,33,28,41,682,64,234,123,65,62,153,124,283,55,71,76,211,152,81,275,109,370,193,87,156,154,222,111,36,117,157,74,87,119,384,54,25,124,414,111
hsa-mir-130b,285,36,66,17,53,87,163,46,62,53,120,65,67,23,18,33,48,47,42,18,48,144,26,148,81,36,164,115,56,90,16,69,36,41,37,44,71,83,89,79,52,67,55,65,59,50,66,88,75,63,26,62,43,60,91,99,45
hsa-mir-132,100,133,61,23,378,202,921,119,37,40,68,46,104,41,46,38,86,125,68,45,132,335,148,92,138,54,48,166,252,169,71,76,76,80,107,165,224,262,135,321,18,101,157,70,63,59,97,48,60,102,90,252,43,68,65,104,101
hsa-mir-1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-mir-1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-133a-1,4,6,0,0,0,0,7,1,1,0,4,1,1,1,2,1,0,3,0,0,0,15,2,1,3,5,1,1,1,1,0,4,1,0,1,2,6,2,7,0,0,2,2,3,2,1,5,0,2,1,1,24,3,0,2,2,3
hsa-mir-133a-2,1,1,4,0,1,5,3,0,0,2,1,0,0,1,0,1,1,1,0,1,1,12,6,4,1,8,1,4,1,3,0,1,2,0,2,2,3,0,4,2,0,3,0,4,1,2,4,3,0,0,1,20,1,1,4,4,2
hsa-mir-133b,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,6,0,0,1,1,2
hsa-mir-134,1127,1253,1118,628,756,2081,2980,978,377,1344,1165,5232,717,520,1614,506,402,549,130,160,437,732,1119,946,1366,1901,225,890,1949,3764,535,699,711,686,877,1688,1744,12364,1016,1519,389,226,1507,553,1541,573,1219,1303,927,475,482,5778,682,485,804,1492,1200
hsa-mir-1343,2,6,0,0,1,3,4,1,0,2,0,1,4,0,2,0,1,3,1,0,5,2,0,6,0,1,1,1,1,4,0,1,1,2,0,8,8,1,3,2,0,0,1,0,0,0,4,0,2,0,1,3,0,1,8,2,0
hsa-mir-135a-1,1,0,0,2,0,0,0,0,2,2,0,1,1,3,0,0,0,4,2,0,5,0,1,2,0,0,4,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,26,0,1,1,0,0,0,3,3,0
hsa-mir-135a-2,1,0,0,1,1,1,0,0,0,0,0,1,0,3,1,0,0,3,4,0,0,0,0,3,1,3,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,21,0,0,1,1,0,0,2,2,0
hsa-mir-135b,8,5,17,5,17,11,3,0,51,7,9,8,9,6,6,0,15,14,3,8,15,14,8,6,48,12,5,11,6,4,15,51,0,11,0,8,14,102,2,37,3,164,15,8,17,44,5,23,70,24,3,9,4,3,1,7,6
hsa-mir-136,125,92,65,28,49,157,436,25,35,77,139,71,87,27,93,30,69,64,23,22,27,131,29,94,115,89,29,87,140,303,41,88,79,75,143,121,144,2128,83,147,26,28,66,51,71,27,100,98,84,40,34,442,29,71,49,163,72
hsa-mir-137,4,0,0,0,4,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,4,1,0
hsa-mir-138-1,0,0,0,0,0,1,4,0,1,1,0,1,0,0,0,0,0,2,0,0,0,4,0,2,2,0,2,0,0,0,1,0,1,0,1,1,0,2,2,4,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1
