source,target,mediators,total_mediators
hsa-miR-26a-5p,KEGG:04151,NAV1; ELAVL2,2
hsa-miR-29c-3p,KEGG:04720,COL6A3; KCTD20,2
hsa-miR-26a-5p,KEGG:04010,NAV1; ELAVL2,2
hsa-miR-24-3p,KEGG:04151,NEK4; NEDD4L,2
hsa-miR-29c-3p,KEGG:04014,COL6A3; KIRREL1,2
hsa-miR-24-3p,KEGG:04140,TMED8; STRADB,2
hsa-miR-29c-3p,KEGG:04151,PPIC; DIO2,2
hsa-miR-24-3p,KEGG:05202,ACVR1B; NEK4,2
hsa-miR-29c-3p,KEGG:04630,DIO2; DAAM1,2
hsa-miR-205-5p,KEGG:05200,SATB2; BMF,2
hsa-miR-29c-3p,KEGG:04713,COL6A3; KCTD20,2
hsa-miR-15b-5p,KEGG:05224,RUNX1T1; DZIP1,2
hsa-miR-34a-5p,KEGG:04014,WAC; LIN54,2
hsa-miR-34a-5p,KEGG:04722,TMED8; YTHDC1,2
hsa-miR-205-5p,KEGG:04014,SATB2; BMF,2
hsa-miR-27b-3p,KEGG:05205,UHRF1BP1; ARIH1,2
hsa-miR-205-5p,KEGG:04151,SATB2; BMF,2
hsa-miR-26a-5p,KEGG:04014,NAV1; ELAVL2,2
hsa-miR-27b-3p,KEGG:04144,CREB1,1
hsa-miR-29a-3p,KEGG:04550,DAAM1,1
hsa-miR-27b-3p,KEGG:04926,ARIH1,1
hsa-miR-29a-3p,KEGG:04630,DAAM1,1
hsa-miR-27b-3p,KEGG:05202,AFF3,1
hsa-miR-27b-3p,KEGG:04012,UHRF1BP1,1
hsa-miR-27b-3p,KEGG:05224,BBX,1
hsa-miR-27b-3p,KEGG:04150,NF1,1
hsa-miR-27b-3p,KEGG:04014,BBX,1
hsa-miR-27b-3p,KEGG:04152,NF1,1
hsa-miR-27b-3p,KEGG:05218,BBX,1
hsa-miR-27b-3p,KEGG:04310,HIPK2,1
hsa-let-7d-5p,KEGG:05161,PDE12,1
hsa-miR-27b-3p,KEGG:01522,ARIH1,1
hsa-miR-26a-5p,KEGG:05225,NAV1,1
hsa-miR-24-3p,KEGG:04510,NEK4,1
hsa-miR-24-3p,KEGG:04550,GBA2,1
hsa-miR-24-3p,KEGG:04630,NEK4,1
hsa-miR-24-3p,KEGG:04722,TMED8,1
hsa-miR-24-3p,KEGG:05161,TMED8,1
hsa-miR-24-3p,KEGG:05205,NEDD4L,1
hsa-miR-24-3p,KEGG:05222,TMED8,1
hsa-miR-26a-5p,KEGG:01521,NAV1,1
hsa-miR-26a-5p,KEGG:01522,NAV1,1
hsa-miR-26a-5p,KEGG:04068,NAV1,1
hsa-miR-26a-5p,KEGG:04140,NAV1,1
hsa-miR-26a-5p,KEGG:04144,NAV1,1
hsa-miR-26a-5p,KEGG:04150,NAV1,1
hsa-miR-26a-5p,KEGG:04152,NAV1,1
hsa-miR-26a-5p,KEGG:04510,NAV1,1
hsa-miR-26a-5p,KEGG:04520,NAV1,1
hsa-miR-26a-5p,KEGG:04550,NAV1,1
hsa-miR-26a-5p,KEGG:04713,ELAVL2,1
hsa-miR-26a-5p,KEGG:04926,ELAVL2,1
hsa-miR-26a-5p,KEGG:05202,NAV1,1
hsa-miR-26a-5p,KEGG:05205,NAV1,1
hsa-miR-26a-5p,KEGG:05214,NAV1,1
hsa-miR-26a-5p,KEGG:05215,NAV1,1
hsa-miR-26a-5p,KEGG:05218,NAV1,1
hsa-miR-26a-5p,KEGG:05224,NAV1,1
hsa-miR-29a-3p,KEGG:05200,DCP2,1
hsa-miR-29c-3p,KEGG:05205,KCTD20,1
hsa-miR-29c-3p,KEGG:04010,KIRREL1,1
hsa-miR-33a-5p,KEGG:04926,CALN1,1
hsa-miR-33a-5p,KEGG:05200,CALN1,1
hsa-miR-33a-5p,KEGG:05202,CALN1,1
hsa-miR-33a-5p,KEGG:05225,CALN1,1
hsa-miR-33b-5p,KEGG:04144,RIC1,1
hsa-miR-34a-5p,KEGG:04140,TMED8,1
hsa-miR-34a-5p,KEGG:04144,TMED8,1
hsa-miR-34a-5p,KEGG:04150,YTHDC1,1
hsa-miR-34a-5p,KEGG:04218,WAC,1
hsa-miR-34a-5p,KEGG:04380,TMED8,1
hsa-miR-34a-5p,KEGG:04720,YTHDC1,1
hsa-miR-34a-5p,KEGG:05161,TMED8,1
hsa-miR-34a-5p,KEGG:05222,TMED8,1
hsa-miR-378a-3p,KEGG:04068,ABI2,1
hsa-miR-378a-3p,KEGG:04144,CAMKK2,1
hsa-miR-378a-3p,KEGG:04152,ABI2,1
hsa-miR-378a-3p,KEGG:04218,ABI2,1
hsa-miR-378a-3p,KEGG:05200,ABI2,1
hsa-miR-378a-3p,KEGG:05202,ABI2,1
hsa-miR-378a-3p,KEGG:05215,ABI2,1
hsa-miR-381-3p,KEGG:01521,ESR1,1
hsa-miR-381-3p,KEGG:04012,ESR1,1
hsa-miR-502-3p,KEGG:04140,CSNK1A1,1
hsa-miR-502-3p,KEGG:04150,CSNK1A1,1
hsa-miR-502-3p,KEGG:04520,ATXN1,1
hsa-miR-7-5p,KEGG:04010,BMPR2,1
hsa-miR-7-5p,KEGG:04218,SEMA6D,1
hsa-miR-7-5p,KEGG:04722,BMPR2,1
hsa-miR-33a-5p,KEGG:05161,CALN1,1
hsa-miR-33a-5p,KEGG:04520,CALN1,1
hsa-miR-29c-3p,KEGG:04012,KCTD20,1
hsa-miR-33a-5p,KEGG:04380,CALN1,1
hsa-miR-29c-3p,KEGG:04150,PPIC,1
hsa-miR-29c-3p,KEGG:04310,KCTD20,1
hsa-miR-29c-3p,KEGG:04550,DAAM1,1
hsa-miR-29c-3p,KEGG:04722,KCTD20,1
hsa-miR-29c-3p,KEGG:04725,KCTD20,1
hsa-miR-29c-3p,KEGG:05200,KCTD20,1
hsa-miR-24-3p,KEGG:04310,NEK4,1
hsa-miR-29c-3p,KEGG:05214,KCTD20,1
hsa-miR-30a-5p,KEGG:04010,GPR157,1
hsa-miR-30b-5p,KEGG:01522,FTO,1
hsa-miR-30b-5p,KEGG:04151,TSPAN2,1
hsa-miR-30b-5p,KEGG:04510,TSPAN2,1
hsa-miR-30b-5p,KEGG:05200,TSPAN2,1
hsa-miR-30b-5p,KEGG:05202,TMTC3,1
hsa-miR-30b-5p,KEGG:05222,TSPAN2,1
hsa-miR-330-3p,KEGG:04218,JCAD,1
hsa-miR-330-3p,KEGG:04550,DKK3,1
hsa-miR-330-3p,KEGG:05200,JCAD,1
hsa-miR-330-3p,KEGG:05214,JCAD,1
hsa-miR-330-3p,KEGG:05218,JCAD,1
hsa-miR-330-3p,KEGG:05222,JCAD,1
hsa-miR-330-3p,KEGG:05224,JCAD,1
hsa-miR-330-3p,KEGG:05225,JCAD,1
hsa-miR-33a-5p,KEGG:04010,CALN1,1
hsa-miR-33a-5p,KEGG:04068,CALN1,1
hsa-miR-33a-5p,KEGG:04144,CALN1,1
hsa-miR-33a-5p,KEGG:04218,CALN1,1
hsa-miR-24-3p,KEGG:04380,TMED8,1
hsa-miR-205-5p,KEGG:05214,SATB2,1
hsa-miR-24-3p,KEGG:04218,NEK4,1
hsa-miR-16-5p,KEGG:04010,PPP6R3,1
hsa-miR-155-5p,KEGG:04713,VEZF1,1
hsa-miR-155-5p,KEGG:05202,AHCYL2,1
hsa-miR-155-5p,KEGG:05215,AHCYL2,1
hsa-miR-15b-5p,KEGG:01522,RUNX1T1,1
hsa-miR-15b-5p,KEGG:04012,RUNX1T1,1
hsa-miR-15b-5p,KEGG:04014,RUNX1T1,1
hsa-miR-15b-5p,KEGG:04140,DZIP1,1
hsa-miR-15b-5p,KEGG:04218,DZIP1,1
hsa-miR-15b-5p,KEGG:04630,RUNX1T1,1
hsa-miR-15b-5p,KEGG:04722,RUNX1T1,1
hsa-miR-15b-5p,KEGG:04926,RUNX1T1,1
hsa-miR-15b-5p,KEGG:05161,RUNX1T1,1
hsa-miR-15b-5p,KEGG:05218,DZIP1,1
hsa-miR-16-5p,KEGG:04014,PPP6R3,1
hsa-miR-151a-3p,KEGG:04218,KLF12,1
hsa-miR-16-5p,KEGG:04144,CCNJL,1
hsa-miR-181b-5p,KEGG:01522,ZBTB4,1
hsa-miR-181b-5p,KEGG:04010,CBX7,1
hsa-miR-181b-5p,KEGG:04014,CBX7,1
hsa-miR-181b-5p,KEGG:04151,CBX7,1
hsa-miR-181b-5p,KEGG:05205,ZBTB4,1
hsa-miR-185-5p,KEGG:01521,NFIX,1
hsa-miR-185-5p,KEGG:01522,NFIX,1
hsa-miR-185-5p,KEGG:04010,NFIX,1
hsa-miR-185-5p,KEGG:04012,NFIX,1
hsa-miR-185-5p,KEGG:04014,NFIX,1
hsa-miR-185-5p,KEGG:04068,NFIX,1
hsa-miR-185-5p,KEGG:04140,NFIX,1
hsa-miR-155-5p,KEGG:04310,BCORL1,1
hsa-miR-151a-3p,KEGG:04144,FRK,1
